mass (g),year,reclat,reclong
51700,01/01/1883 12:00:00 AM,42.96667,-85.76667
6400,1/1/08 0:00,32.788333,-101.938333
525000,1/1/29 0:00,35.16667,-107.88333
2300,1/1/36 0:00,37.46667,-101.43333
4400,1/1/64 0:00,33.11667,-101.58333
421.8,1/1/06 0:00,,
3555,1/1/06 0:00,,
12497.5,1/1/06 0:00,,
1015.8,1/1/06 0:00,,
5691,1/1/06 0:00,,
4155.5,1/1/06 0:00,,
4530,1/1/06 0:00,,
3657.4,1/1/06 0:00,,
2323.4,1/1/06 0:00,,
1618.9,1/1/06 0:00,,
205.4,1/1/06 0:00,0,0
599.6,1/1/06 0:00,0,0
996.3,1/1/06 0:00,,
1254.7,1/1/06 0:00,,
906.7,1/1/06 0:00,,
456.3,1/1/06 0:00,,
1853.3,1/1/06 0:00,0,0
1022.5,1/1/06 0:00,0,0
775.6,1/1/06 0:00,,
1175.7,1/1/06 0:00,,
1171.3,1/1/06 0:00,,
1072.8,1/1/06 0:00,,
466.3,1/1/06 0:00,,
965,1/1/06 0:00,,
499.1,1/1/06 0:00,,
487.2,1/1/06 0:00,,
682.1,1/1/06 0:00,0,0
254.1,1/1/06 0:00,,
447.6,1/1/06 0:00,,
196.5,1/1/06 0:00,,
13.6,1/1/06 0:00,,
7.3,1/1/06 0:00,,
136.5,1/1/06 0:00,,
234,1/1/06 0:00,,
89.4,1/1/06 0:00,,
207.5,1/1/06 0:00,,
170.3,1/1/06 0:00,,
198.7,1/1/06 0:00,,
134.6,1/1/06 0:00,,
148,1/1/06 0:00,,
139.3,1/1/06 0:00,0,0
135.4,1/1/06 0:00,0,0
111.3,1/1/06 0:00,0,0
244.3,1/1/06 0:00,0,0
57.2,1/1/06 0:00,0,0
84.9,1/1/06 0:00,0,0
192.4,1/1/06 0:00,0,0
143.5,1/1/06 0:00,0,0
362.6,1/1/06 0:00,0,0
60.1,1/1/06 0:00,0,0
179.5,1/1/06 0:00,,
63.4,1/1/06 0:00,,
126.4,1/1/06 0:00,,
106.2,1/1/06 0:00,,
38.8,1/1/06 0:00,,
24.9,1/1/06 0:00,,
7,1/1/06 0:00,,
0.8,1/1/06 0:00,,
1.3,1/1/06 0:00,,
5.2,1/1/06 0:00,,
1.2,1/1/06 0:00,,
0.5,1/1/06 0:00,,
42.1,1/1/06 0:00,,
20.2,1/1/06 0:00,,
11.4,1/1/06 0:00,,
3,1/1/06 0:00,,
15.5,1/1/06 0:00,,
4.9,1/1/06 0:00,,
1.8,1/1/06 0:00,,
4.1,1/1/06 0:00,,
191.2,1/1/06 0:00,,
233,1/1/06 0:00,,
21.1,1/1/06 0:00,,
5.5,1/1/06 0:00,,
95.8,1/1/06 0:00,0,0
73.3,1/1/06 0:00,0,0
95.8,1/1/06 0:00,0,0
92.7,1/1/06 0:00,0,0
37,1/1/06 0:00,0,0
46.1,1/1/06 0:00,0,0
23.7,1/1/06 0:00,,
50.4,1/1/06 0:00,,
30.7,1/1/06 0:00,,
7.1,1/1/06 0:00,,
37.4,1/1/06 0:00,,
54.4,1/1/06 0:00,,
9.5,1/1/06 0:00,,
2.7,1/1/06 0:00,,
7.5,1/1/06 0:00,,
2.9,1/1/06 0:00,,
12.7,1/1/06 0:00,,
10.1,1/1/06 0:00,,
32.4,1/1/06 0:00,,
4.2,1/1/06 0:00,,
3.3,1/1/06 0:00,,
6.2,1/1/06 0:00,,
12,1/1/06 0:00,,
11.7,1/1/06 0:00,,
8.4,1/1/06 0:00,,
6,1/1/06 0:00,,
158.6,1/1/06 0:00,,
91.6,1/1/06 0:00,,
65.6,1/1/06 0:00,,
63.6,1/1/06 0:00,,
84.5,1/1/06 0:00,,
47.1,1/1/06 0:00,,
34.5,1/1/06 0:00,,
50,1/1/06 0:00,,
36.6,1/1/06 0:00,,
52.2,1/1/06 0:00,,
38.8,1/1/06 0:00,,
22.1,1/1/06 0:00,,
32.1,1/1/06 0:00,,
31.3,1/1/06 0:00,,
21.4,1/1/06 0:00,,
8,1/1/06 0:00,,
1.1,1/1/06 0:00,,
5.3,1/1/06 0:00,,
1.6,1/1/06 0:00,,
4,1/1/06 0:00,,
4.5,1/1/06 0:00,,
0.4,1/1/06 0:00,,
1.1,1/1/06 0:00,,
9.2,1/1/06 0:00,,
3.8,1/1/06 0:00,,
1,1/1/06 0:00,,
2.2,1/1/06 0:00,,
13.8,1/1/06 0:00,,
10.9,1/1/06 0:00,,
7.2,1/1/06 0:00,,
3.3,1/1/06 0:00,,
3.2,1/1/06 0:00,,
7.5,1/1/06 0:00,,
7.3,1/1/06 0:00,,
4.1,1/1/06 0:00,,
25066.1,1/1/95 0:00,-86.71667,-141.5
2990.5,1/1/95 0:00,-86.71667,-141.5
2006.4,1/1/95 0:00,-86.71667,-141.5
1205.9,1/1/95 0:00,-86.71667,-141.5
1173.7,1/1/95 0:00,-86.71667,-141.5
1459.8,1/1/95 0:00,-86.71667,-141.5
933.2,1/1/95 0:00,-86.71667,-141.5
914.2,1/1/95 0:00,-86.71667,-141.5
778.3,1/1/95 0:00,-86.71667,-141.5
948.8,1/1/95 0:00,-86.71667,-141.5
550.4,1/1/95 0:00,-86.71667,-141.5
518.8,1/1/95 0:00,-86.71667,-141.5
444.1,1/1/95 0:00,-86.71667,-141.5
372.8,1/1/95 0:00,-86.71667,-141.5
204.5,1/1/95 0:00,-86.71667,-141.5
320.6,1/1/95 0:00,-86.71667,-141.5
129.1,1/1/95 0:00,-86.71667,-141.5
134,1/1/95 0:00,-86.71667,-141.5
79.1,1/1/95 0:00,-86.71667,-141.5
100.8,1/1/95 0:00,-86.71667,-141.5
55.8,1/1/95 0:00,-86.71667,-141.5
14.9,1/1/95 0:00,-86.71667,-141.5
19.4,1/1/95 0:00,-86.71667,-141.5
20.2,1/1/95 0:00,-86.71667,-141.5
3.1,1/1/95 0:00,-86.71667,-141.5
2.7,1/1/95 0:00,-86.71667,-141.5
16.6,1/1/95 0:00,-86.71667,-141.5
36.4,1/1/95 0:00,-86.71667,-141.5
52.2,1/1/95 0:00,-86.71667,-141.5
128.9,1/1/95 0:00,-86.71667,-141.5
53.4,1/1/95 0:00,-86.71667,-141.5
16.2,1/1/95 0:00,-86.71667,-141.5
68.9,1/1/95 0:00,-86.71667,-141.5
7296.7,1/1/98 0:00,-86.71667,-141.5
735.4,1/1/98 0:00,-86.71667,-141.5
426.7,1/1/98 0:00,-86.71667,-141.5
721.9,1/1/98 0:00,-86.71667,-141.5
202.9,1/1/98 0:00,-86.71667,-141.5
163.7,1/1/98 0:00,-86.71667,-141.5
82.1,1/1/98 0:00,-86.71667,-141.5
120.1,1/1/98 0:00,-86.71667,-141.5
116.9,1/1/98 0:00,-86.71667,-141.5
140.3,1/1/98 0:00,-86.71667,-141.5
104.5,1/1/98 0:00,-86.71667,-141.5
530,1/1/98 0:00,-86.71667,-141.5
697.5,1/1/98 0:00,-86.71667,-141.5
1130.7,1/1/98 0:00,-86.71667,-141.5
1201.9,1/1/98 0:00,-86.71667,-141.5
512.8,1/1/98 0:00,-86.71667,-141.5
341.8,1/1/98 0:00,-86.71667,-141.5
315.4,1/1/98 0:00,-86.71667,-141.5
95.5,1/1/98 0:00,-86.71667,-141.5
200.9,1/1/98 0:00,-86.71667,-141.5
81.3,1/1/98 0:00,-86.71667,-141.5
62.7,1/1/98 0:00,-86.71667,-141.5
136.7,1/1/98 0:00,-86.71667,-141.5
59.1,1/1/98 0:00,-86.71667,-141.5
14.4,1/1/98 0:00,-86.71667,-141.5
68.4,1/1/98 0:00,-86.71667,-141.5
14.8,1/1/98 0:00,-86.71667,-141.5
22.4,1/1/98 0:00,-86.71667,-141.5
8.9,1/1/98 0:00,-86.71667,-141.5
32.6,1/1/98 0:00,-86.71667,-141.5
2309.8,1/1/98 0:00,-86.71667,-141.5
1699.5,1/1/98 0:00,-86.71667,-141.5
123.2,1/1/98 0:00,-86.71667,-141.5
416.3,1/1/98 0:00,-86.71667,-141.5
248.4,1/1/98 0:00,-86.71667,-141.5
182.2,1/1/98 0:00,-86.71667,-141.5
107.9,1/1/98 0:00,-86.71667,-141.5
118.6,1/1/98 0:00,-86.71667,-141.5
72.8,1/1/98 0:00,-86.71667,-141.5
542.6,1/1/98 0:00,-86.71667,-141.5
1081.5,1/1/98 0:00,-86.71667,-141.5
92.6,1/1/98 0:00,-86.71667,-141.5
102.9,1/1/98 0:00,-86.71667,-141.5
27.5,1/1/98 0:00,-86.71667,-141.5
260.4,1/1/98 0:00,-86.71667,-141.5
657.6,1/1/98 0:00,-86.71667,-141.5
594.1,1/1/98 0:00,-86.71667,-141.5
702.1,1/1/98 0:00,-86.71667,-141.5
2341.9,1/1/98 0:00,-86.71667,-141.5
337.4,1/1/98 0:00,-86.71667,-141.5
171.9,1/1/98 0:00,-86.71667,-141.5
63.6,1/1/98 0:00,-86.71667,-141.5
145.5,1/1/98 0:00,-86.71667,-141.5
103.4,1/1/98 0:00,-86.71667,-141.5
140.8,1/1/98 0:00,-86.71667,-141.5
177.9,1/1/98 0:00,-86.71667,-141.5
65.1,1/1/98 0:00,-86.71667,-141.5
105.7,1/1/98 0:00,-86.71667,-141.5
67.9,1/1/98 0:00,-86.71667,-141.5
54,1/1/98 0:00,-86.71667,-141.5
121.5,1/1/98 0:00,-86.71667,-141.5
51.9,1/1/98 0:00,-86.71667,-141.5
41.1,1/1/98 0:00,-86.71667,-141.5
42.7,1/1/98 0:00,-86.71667,-141.5
53.6,1/1/98 0:00,-86.71667,-141.5
18.2,1/1/98 0:00,-86.71667,-141.5
53.2,1/1/98 0:00,-86.71667,-141.5
51.6,1/1/98 0:00,-86.71667,-141.5
42.5,1/1/98 0:00,-86.71667,-141.5
16.3,1/1/98 0:00,-86.71667,-141.5
64.3,1/1/98 0:00,-86.71667,-141.5
29.9,1/1/98 0:00,-86.71667,-141.5
6.5,1/1/98 0:00,-86.71667,-141.5
51.9,1/1/98 0:00,-86.71667,-141.5
20.6,1/1/98 0:00,-86.71667,-141.5
29.2,1/1/98 0:00,-86.71667,-141.5
24.9,1/1/98 0:00,-86.71667,-141.5
7.5,1/1/98 0:00,-86.71667,-141.5
3.7,1/1/98 0:00,-86.71667,-141.5
91.8,1/1/98 0:00,-86.71667,-141.5
87.5,1/1/98 0:00,-86.71667,-141.5
13.5,1/1/98 0:00,-86.71667,-141.5
23,1/1/98 0:00,-86.71667,-141.5
42.3,1/1/98 0:00,-86.71667,-141.5
43.7,1/1/98 0:00,-86.71667,-141.5
32.3,1/1/98 0:00,-86.71667,-141.5
22.3,1/1/98 0:00,-86.71667,-141.5
64.6,1/1/98 0:00,-86.71667,-141.5
60.8,1/1/98 0:00,-86.71667,-141.5
42.4,1/1/98 0:00,-86.71667,-141.5
20.8,1/1/98 0:00,-86.71667,-141.5
20.7,1/1/98 0:00,-86.71667,-141.5
40.4,1/1/98 0:00,-86.71667,-141.5
7.2,1/1/98 0:00,-86.71667,-141.5
31.9,1/1/98 0:00,-86.71667,-141.5
45.9,1/1/98 0:00,-86.71667,-141.5
12.9,1/1/98 0:00,-86.71667,-141.5
779.2,1/1/98 0:00,-86.71667,-141.5
26.7,1/1/98 0:00,-86.71667,-141.5
17.9,1/1/98 0:00,-86.71667,-141.5
38.6,1/1/98 0:00,-86.71667,-141.5
7,1/1/98 0:00,-86.71667,-141.5
41.1,1/1/98 0:00,-86.71667,-141.5
15.2,1/1/98 0:00,-86.71667,-141.5
13.9,1/1/98 0:00,-86.71667,-141.5
47.6,1/1/98 0:00,-86.71667,-141.5
35,1/1/98 0:00,-86.71667,-141.5
12.7,1/1/98 0:00,-86.71667,-141.5
7.3,1/1/98 0:00,-86.71667,-141.5
70.3,1/1/98 0:00,-86.71667,-141.5
80,1/1/98 0:00,-86.71667,-141.5
86,1/1/98 0:00,-86.71667,-141.5
63.7,1/1/98 0:00,-86.71667,-141.5
58.7,1/1/98 0:00,-86.71667,-141.5
44.9,1/1/98 0:00,-86.71667,-141.5
66.5,1/1/98 0:00,-86.71667,-141.5
89.5,1/1/98 0:00,-86.71667,-141.5
78.4,1/1/98 0:00,-86.71667,-141.5
45.4,1/1/98 0:00,-86.71667,-141.5
42.5,1/1/98 0:00,-86.71667,-141.5
48,1/1/98 0:00,-86.71667,-141.5
12.9,1/1/98 0:00,-86.71667,-141.5
14.8,1/1/98 0:00,-86.71667,-141.5
5.8,1/1/98 0:00,-86.71667,-141.5
17.4,1/1/98 0:00,-86.71667,-141.5
26.2,1/1/98 0:00,-86.71667,-141.5
17.5,1/1/98 0:00,-86.71667,-141.5
19.6,1/1/98 0:00,-86.71667,-141.5
45.1,1/1/98 0:00,-86.71667,-141.5
26.1,1/1/98 0:00,-86.71667,-141.5
14.6,1/1/98 0:00,-86.71667,-141.5
18.7,1/1/98 0:00,-86.71667,-141.5
22.4,1/1/98 0:00,-86.71667,-141.5
25.7,1/1/98 0:00,-86.71667,-141.5
2.7,1/1/98 0:00,-86.71667,-141.5
16.4,1/1/98 0:00,-86.71667,-141.5
9.8,1/1/98 0:00,-86.71667,-141.5
63.8,1/1/98 0:00,-86.71667,-141.5
41.5,1/1/98 0:00,-86.71667,-141.5
9.1,1/1/98 0:00,-86.71667,-141.5
11,1/1/98 0:00,-86.71667,-141.5
13.9,1/1/98 0:00,-86.71667,-141.5
16.1,1/1/98 0:00,-86.71667,-141.5
3.6,1/1/98 0:00,-86.71667,-141.5
9.2,1/1/98 0:00,-86.71667,-141.5
6.7,1/1/98 0:00,-86.71667,-141.5
79.7,1/1/98 0:00,-86.71667,-141.5
36.9,1/1/98 0:00,-86.71667,-141.5
52.8,1/1/98 0:00,-86.71667,-141.5
69.3,1/1/98 0:00,-86.71667,-141.5
35.1,1/1/98 0:00,-86.71667,-141.5
21.2,1/1/98 0:00,-86.71667,-141.5
33.9,1/1/98 0:00,-86.71667,-141.5
29.3,1/1/98 0:00,-86.71667,-141.5
39.2,1/1/98 0:00,-86.71667,-141.5
66.9,1/1/98 0:00,-86.71667,-141.5
33.9,1/1/98 0:00,-86.71667,-141.5
7.8,1/1/98 0:00,-86.71667,-141.5
7.7,1/1/98 0:00,-86.71667,-141.5
0.8,1/1/98 0:00,-86.71667,-141.5
15.5,1/1/98 0:00,-86.71667,-141.5
15.1,1/1/98 0:00,-86.71667,-141.5
11.3,1/1/98 0:00,-86.71667,-141.5
10.8,1/1/98 0:00,-86.71667,-141.5
4.9,1/1/98 0:00,-86.71667,-141.5
7,1/1/98 0:00,-86.71667,-141.5
22.1,1/1/98 0:00,-86.71667,-141.5
21,1/1/98 0:00,-86.71667,-141.5
8,1/1/98 0:00,-86.71667,-141.5
13.8,1/1/98 0:00,-86.71667,-141.5
30,1/1/98 0:00,-86.71667,-141.5
8.5,1/1/98 0:00,-86.71667,-141.5
27.5,1/1/98 0:00,-86.71667,-141.5
15.1,1/1/98 0:00,-86.71667,-141.5
10,1/1/98 0:00,-86.71667,-141.5
7.2,1/1/98 0:00,-86.71667,-141.5
18.7,1/1/98 0:00,-86.71667,-141.5
13.1,1/1/98 0:00,-86.71667,-141.5
2.9,1/1/98 0:00,-86.71667,-141.5
63.5,1/1/98 0:00,-86.71667,-141.5
145.4,1/1/98 0:00,-86.71667,-141.5
119.1,1/1/98 0:00,-86.71667,-141.5
70,1/1/98 0:00,-86.71667,-141.5
29000,1/1/98 0:00,-86.71667,-141.5
11300,1/1/83 0:00,30.31167,-86.16667
40,1/1/36 0:00,66,-120
28770,1/1/83 0:00,38.395,-98.91583
130,1/1/91 0:00,26.2,25.66667
135,1/1/91 0:00,25.5,25.41667
110,1/1/91 0:00,26.05,25.66667
580,1/1/94 0:00,25.59306,25.52778
80,1/1/95 0:00,25.81611,25.91417
45,1/1/95 0:00,26.76556,26.32361
1450,1/1/96 0:00,26.91028,26.15167
450,1/1/96 0:00,26.59444,25.62222
414,1/1/96 0:00,27.03056,26.67444
12000,1/1/99 0:00,25.53667,25.65778
5420,1/1/00 0:00,26.01667,25.73333
1416,1/1/02 0:00,28.10567,25.54017
0.9,1/1/94 0:00,25.91667,25.66667
1.5,1/1/96 0:00,25.16667,25.66667
7.8,1/1/96 0:00,25.28317,25.60833
10.9,1/1/05 0:00,25.3735,25.70617
100,1/1/07 0:00,28.18917,25.62167
51.33,1/1/06 0:00,26.37817,26.8505
62.26,1/1/06 0:00,25.43617,25.4865
8.3,1/1/06 0:00,26.18667,25.45567
80.1,1/1/06 0:00,26.18667,25.45567
7.72,1/1/06 0:00,26.18667,25.45567
40.94,1/1/07 0:00,26.61667,26.19933
128.91,1/1/07 0:00,26.62533,26.19833
66.94,1/1/07 0:00,26.77133,26.54283
146.04,1/1/07 0:00,26.82583,27.14233
128.63,1/1/07 0:00,26.8235,27.1415
15,1/1/10 0:00,26.32733,27.33667
6.5,1/1/10 0:00,25.34583,25.498
48,1/1/95 0:00,31.76167,-110.75
5000,01/01/1880 12:00:00 AM,37.83333,-80.31667
45,1/1/04 0:00,39.49133,-112.942
664,1/1/87 0:00,30.51528,-91.01222
710.3,1/1/97 0:00,21.229,10.75633
608.9,1/1/97 0:00,20.7145,11.11567
490.6,1/1/97 0:00,20.56783,11.34583
303000,1/1/55 0:00,53.23333,27.33333
82000,1/1/12 0:00,39.93333,-99.21667
12.4,1/1/69 0:00,34.38167,-103.39167
929.4,1/1/69 0:00,34.26667,-103.38333
6000,1/1/85 0:00,33.71667,-102.81667
93,1/1/11 0:00,35.06639,-114.0975
29000,1/1/02 0:00,,
28000,1/1/02 0:00,,
10640,1/1/03 0:00,,
2470,1/1/03 0:00,,
2576,1/1/03 0:00,,
1161.6,1/1/03 0:00,,
3850,1/1/03 0:00,,
1693,1/1/03 0:00,,
1112.9,1/1/03 0:00,,
1397.5,1/1/03 0:00,,
1257.6,1/1/03 0:00,,
1184,1/1/03 0:00,,
1035,1/1/03 0:00,,
1110,1/1/03 0:00,,
480,1/1/03 0:00,,
955,1/1/03 0:00,,
310,1/1/03 0:00,,
1554,1/1/03 0:00,,
1243,1/1/03 0:00,,
555,1/1/03 0:00,,
607.9,1/1/03 0:00,,
653.5,1/1/03 0:00,,
882,1/1/03 0:00,,
642.7,1/1/03 0:00,,
595,1/1/03 0:00,,
561.2,1/1/03 0:00,,
585,1/1/03 0:00,,
475,1/1/03 0:00,,
520.2,1/1/03 0:00,,
895.3,1/1/03 0:00,,
772.8,1/1/03 0:00,,
389.1,1/1/03 0:00,,
334.1,1/1/03 0:00,,
274.6,1/1/03 0:00,,
358.4,1/1/03 0:00,,
338.7,1/1/03 0:00,,
532.1,1/1/03 0:00,,
391.9,1/1/03 0:00,,
386.9,1/1/03 0:00,,
150.4,1/1/03 0:00,,
183.8,1/1/03 0:00,,
288.3,1/1/03 0:00,,
274.5,1/1/03 0:00,,
275.5,1/1/03 0:00,,
256.1,1/1/03 0:00,,
196.1,1/1/03 0:00,,
282,1/1/03 0:00,,
394.4,1/1/03 0:00,,
311.3,1/1/03 0:00,,
275,1/1/03 0:00,,
182,1/1/03 0:00,,
295,1/1/03 0:00,,
280,1/1/03 0:00,,
340,1/1/03 0:00,,
384.4,1/1/03 0:00,,
422.5,1/1/03 0:00,,
662.9,1/1/03 0:00,,
420.7,1/1/03 0:00,,
625.3,1/1/03 0:00,,
520,1/1/03 0:00,,
455,1/1/03 0:00,,
440,1/1/03 0:00,,
245,1/1/03 0:00,,
392.5,1/1/03 0:00,,
303.9,1/1/03 0:00,,
265.1,1/1/03 0:00,,
140.1,1/1/03 0:00,,
288.2,1/1/03 0:00,,
219.3,1/1/03 0:00,,
353,1/1/03 0:00,,
261.9,1/1/03 0:00,,
158.6,1/1/03 0:00,,
146.3,1/1/03 0:00,,
268.5,1/1/03 0:00,,
294.2,1/1/03 0:00,,
257.7,1/1/03 0:00,,
201.1,1/1/03 0:00,,
239.8,1/1/03 0:00,,
165.4,1/1/03 0:00,,
177.7,1/1/03 0:00,,
212.2,1/1/03 0:00,,
174.5,1/1/03 0:00,,
131.4,1/1/03 0:00,,
184.7,1/1/03 0:00,,
155.1,1/1/03 0:00,,
131.7,1/1/03 0:00,,
135.8,1/1/03 0:00,,
139.4,1/1/03 0:00,,
189.5,1/1/03 0:00,,
177.6,1/1/03 0:00,,
238.6,1/1/03 0:00,,
139.2,1/1/03 0:00,,
183.7,1/1/03 0:00,,
128,1/1/03 0:00,,
140.3,1/1/03 0:00,,
135.9,1/1/03 0:00,,
123,1/1/03 0:00,,
117.1,1/1/03 0:00,,
245.1,1/1/03 0:00,,
91.6,1/1/03 0:00,,
95.2,1/1/03 0:00,,
113.8,1/1/03 0:00,,
207.6,1/1/03 0:00,,
142.2,1/1/03 0:00,,
122.7,1/1/03 0:00,,
142.4,1/1/03 0:00,,
73.8,1/1/03 0:00,,
61,1/1/03 0:00,,
78.6,1/1/03 0:00,,
111.5,1/1/03 0:00,,
88,1/1/03 0:00,,
103.2,1/1/03 0:00,,
100.9,1/1/03 0:00,,
93,1/1/03 0:00,,
86.1,1/1/03 0:00,,
108.3,1/1/03 0:00,,
87.5,1/1/03 0:00,,
64.1,1/1/03 0:00,,
75.4,1/1/03 0:00,,
102.7,1/1/03 0:00,,
82.9,1/1/03 0:00,,
48.9,1/1/03 0:00,,
86.3,1/1/03 0:00,,
84.1,1/1/03 0:00,,
69.6,1/1/03 0:00,,
55.9,1/1/03 0:00,,
64.1,1/1/03 0:00,,
70.9,1/1/03 0:00,,
52.2,1/1/03 0:00,,
74.2,1/1/03 0:00,,
67.5,1/1/03 0:00,,
69.5,1/1/03 0:00,,
114.8,1/1/03 0:00,,
69.4,1/1/03 0:00,,
49.6,1/1/03 0:00,,
65.4,1/1/03 0:00,,
45.6,1/1/03 0:00,,
61,1/1/03 0:00,,
49,1/1/03 0:00,,
37.6,1/1/03 0:00,,
26.6,1/1/03 0:00,,
26.3,1/1/03 0:00,,
20,1/1/03 0:00,,
6.3,1/1/03 0:00,,
5,1/1/03 0:00,,
5.3,1/1/03 0:00,,
26.6,1/1/03 0:00,,
0.94,1/1/03 0:00,,
14.5,1/1/03 0:00,,
40.7,1/1/03 0:00,,
32,1/1/03 0:00,,
37.9,1/1/03 0:00,,
10.8,1/1/03 0:00,,
21.1,1/1/03 0:00,,
9.7,1/1/03 0:00,,
21.4,1/1/03 0:00,,
3.1,1/1/03 0:00,,
32.9,1/1/03 0:00,,
10,1/1/03 0:00,,
23.7,1/1/03 0:00,,
0.78,1/1/03 0:00,,
14.7,1/1/03 0:00,,
5.7,1/1/03 0:00,,
13,1/1/03 0:00,,
31.9,1/1/03 0:00,,
6.4,1/1/03 0:00,,
32.5,1/1/03 0:00,,
16.8,1/1/03 0:00,,
1.25,1/1/03 0:00,,
1.08,1/1/03 0:00,,
9130,1/1/06 0:00,,
1501.6,1/1/06 0:00,,
907.6,1/1/06 0:00,,
1033.1,1/1/06 0:00,,
1319.4,1/1/06 0:00,,
917.9,1/1/06 0:00,,
500.6,1/1/06 0:00,,
730.9,1/1/06 0:00,,
482.3,1/1/06 0:00,,
433.5,1/1/06 0:00,,
325.7,1/1/06 0:00,,
199.3,1/1/06 0:00,,
243,1/1/06 0:00,,
218,1/1/06 0:00,,
174,1/1/06 0:00,,
139.6,1/1/06 0:00,,
292.7,1/1/06 0:00,,
176,1/1/06 0:00,,
174.3,1/1/06 0:00,,
94,1/1/06 0:00,,
80.8,1/1/06 0:00,,
108.1,1/1/06 0:00,,
83.8,1/1/06 0:00,,
67.6,1/1/06 0:00,,
98.5,1/1/06 0:00,,
41.5,1/1/06 0:00,,
156.7,1/1/06 0:00,,
138.8,1/1/06 0:00,,
75.6,1/1/06 0:00,,
88.7,1/1/06 0:00,,
99.6,1/1/06 0:00,,
66.2,1/1/06 0:00,,
52.5,1/1/06 0:00,,
42.4,1/1/06 0:00,,
50.7,1/1/06 0:00,,
49,1/1/06 0:00,,
29.4,1/1/06 0:00,,
33.2,1/1/06 0:00,,
23.5,1/1/06 0:00,,
23.4,1/1/06 0:00,,
16.3,1/1/06 0:00,,
27.7,1/1/06 0:00,,
15,1/1/06 0:00,,
3.4,1/1/06 0:00,,
3.7,1/1/06 0:00,,
10.3,1/1/06 0:00,,
2.3,1/1/06 0:00,,
3.3,1/1/06 0:00,,
3821.6,1/1/85 0:00,-85.66667,175
1400.7,1/1/85 0:00,-85.66667,175
27.2,1/1/85 0:00,-85.66667,175
1450.4,1/1/85 0:00,-85.66667,175
1754.7,1/1/85 0:00,-85.66667,175
999.9,1/1/85 0:00,-85.66667,175
2420.1,1/1/85 0:00,-85.66667,175
2372.1,1/1/85 0:00,-85.66667,175
1356.9,1/1/85 0:00,-85.66667,175
1126.1,1/1/85 0:00,-85.66667,175
246.8,1/1/85 0:00,-85.66667,175
355.3,1/1/85 0:00,-85.66667,175
342.2,1/1/85 0:00,-85.66667,175
4364.4,1/1/85 0:00,-85.66667,175
259.8,1/1/85 0:00,-85.66667,175
35.2,1/1/85 0:00,-85.66667,175
12.5,1/1/85 0:00,-85.66667,175
33.6,1/1/85 0:00,-85.66667,175
6.8,1/1/85 0:00,-85.66667,175
10000,1/1/95 0:00,-85.66667,175
8000,1/1/95 0:00,-85.66667,175
5362.7,1/1/95 0:00,-85.66667,175
4801.5,1/1/95 0:00,-85.66667,175
4018.3,1/1/95 0:00,-85.66667,175
2031,1/1/95 0:00,-85.66667,175
1194.5,1/1/95 0:00,-85.66667,175
1000,1/1/95 0:00,-85.66667,175
1271.6,1/1/95 0:00,-85.66667,175
1014,1/1/95 0:00,-85.66667,175
1097.3,1/1/95 0:00,-85.66667,175
64.4,1/1/95 0:00,-85.66667,175
840.4,1/1/95 0:00,-85.66667,175
851.7,1/1/95 0:00,-85.66667,175
846.4,1/1/95 0:00,-85.66667,175
663.6,1/1/95 0:00,-85.66667,175
456.8,1/1/95 0:00,-85.66667,175
574,1/1/95 0:00,-85.66667,175
1342.4,1/1/95 0:00,-85.66667,175
682.3,1/1/95 0:00,-85.66667,175
641.4,1/1/95 0:00,-85.66667,175
451.5,1/1/95 0:00,-85.66667,175
962.5,1/1/95 0:00,-85.66667,175
402,1/1/95 0:00,-85.66667,175
360.9,1/1/95 0:00,-85.66667,175
291.6,1/1/95 0:00,-85.66667,175
299.9,1/1/95 0:00,-85.66667,175
400.8,1/1/95 0:00,-85.66667,175
358.6,1/1/95 0:00,-85.66667,175
250.6,1/1/95 0:00,-85.66667,175
603.4,1/1/95 0:00,-85.66667,175
723.3,1/1/95 0:00,-85.66667,175
348.4,1/1/95 0:00,-85.66667,175
613.2,1/1/95 0:00,-85.66667,175
17.9,1/1/95 0:00,-85.66667,175
53.8,1/1/95 0:00,-85.66667,175
331.2,1/1/95 0:00,-85.66667,175
258.9,1/1/95 0:00,-85.66667,175
353.3,1/1/95 0:00,-85.66667,175
269.8,1/1/95 0:00,-85.66667,175
255.1,1/1/95 0:00,-85.66667,175
265.2,1/1/95 0:00,-85.66667,175
276.7,1/1/95 0:00,-85.66667,175
222.9,1/1/95 0:00,-85.66667,175
626,1/1/95 0:00,-85.66667,175
142.1,1/1/95 0:00,-85.66667,175
200.8,1/1/95 0:00,-85.66667,175
281.5,1/1/95 0:00,-85.66667,175
229.6,1/1/95 0:00,-85.66667,175
180.3,1/1/95 0:00,-85.66667,175
170,1/1/95 0:00,-85.66667,175
213.4,1/1/95 0:00,-85.66667,175
182,1/1/95 0:00,-85.66667,175
215.7,1/1/95 0:00,-85.66667,175
201.9,1/1/95 0:00,-85.66667,175
250.6,1/1/95 0:00,-85.66667,175
169.8,1/1/95 0:00,-85.66667,175
199.1,1/1/95 0:00,-85.66667,175
202.4,1/1/95 0:00,-85.66667,175
202.2,1/1/95 0:00,-85.66667,175
233.7,1/1/95 0:00,-85.66667,175
236.3,1/1/95 0:00,-85.66667,175
260.5,1/1/95 0:00,-85.66667,175
