mass (g),year,reclat,reclong
500,01/01/1812 12:00:00 AM,55.46667,35.86667
614,01/01/1823 12:00:00 AM,51.33333,33.88333
190,1/1/03 0:00,17.71067,-11.3715
3599,1/1/11 0:00,17.17493,-11.34133
5460,1/1/69 0:00,54.56667,-6.33333
762,01/01/1886 12:00:00 AM,40.5,-80.08333
39000,01/01/1847 12:00:00 AM,50.6,16.3
1500,1/1/56 0:00,50.66694,8.18361
7250,01/01/1855 12:00:00 AM,53.4,9.1
219,1/1/33 0:00,52.13333,59.31667
303000,1/1/60 0:00,53.9,-112.88333
5300,1/1/01 0:00,39.77978,64.60035
2250,1/1/64 0:00,,
324,1/1/07 0:00,-31.35,129.19
357,1/1/42 0:00,10.01667,9.58333
120000,1/1/19 0:00,5,48
1504,1/1/90 0:00,37.62194,-82.23722
25000,1/1/46 0:00,40.2,29.23333
5000,01/01/1863 12:00:00 AM,46.45,25.78333
1500,01/01/1852 12:00:00 AM,26.78333,82.83333
29000,01/01/1861 12:00:00 AM,27.08333,84.08333
41000,1/1/08 0:00,52.996,-109.84817
25000,01/01/1870 12:00:00 AM,37.98333,-1.16667
48500,01/01/1886 12:00:00 AM,35.5,-93.5
212,1/1/19 0:00,43.83889,20.33333
478,1/1/07 0:00,3.405,-76.51
2400,1/1/16 0:00,11.75,122.33333
23680,1/1/91 0:00,-7.03333,-40.16667
4000,1/1/64 0:00,39.8,26.6
945,01/01/1861 12:00:00 AM,41.25,1.66667
34000,01/01/1866 12:00:00 AM,43.38333,-5.15
1400,1/1/73 0:00,38.47028,-105.24139
2300,01/01/1846 12:00:00 AM,37.26667,-89.58333
750,1/1/34 0:00,-30.88333,-64.55
342,1/1/07 0:00,-16.66444,-69.04389
8,01/01/1902 12:00:00 AM,38.5,27
7300,01/01/1874 12:00:00 AM,36.08333,-78.06667
,01/01/1791 12:00:00 AM,43.35,11.5
94,01/01/1848 12:00:00 AM,44.38333,-68.75
15000,01/01/1583 12:00:00 AM,39.8,16.2
1360,01/01/1810 12:00:00 AM,36.5,-79.25
1025,1/1/88 0:00,26.46667,-105.23333
45.6,1/1/56 0:00,43.2,-96.91667
6460,01/01/1840 12:00:00 AM,45.08333,8.3
3700,1/1/98 0:00,28.53333,109.31667
0.5,01/01/1814 12:00:00 AM,25.36667,81.66667
8200,1/1/07 0:00,25.85,83.48333
18300,1/1/33 0:00,-30.78333,-58.05
8800,01/01/1838 12:00:00 AM,20.26667,76.01667
1100,01/01/1885 12:00:00 AM,27.28333,79.05
1810,1/1/77 0:00,29.08333,111.75
31500,01/01/1812 12:00:00 AM,46.68333,1.05
4300,01/01/1835 12:00:00 AM,36.16667,-87.33333
27000,01/01/1810 12:00:00 AM,47.93333,1.56667
12000,01/01/1834 12:00:00 AM,29.48333,75.5
4000,01/01/1815 12:00:00 AM,47.71667,5.36667
30000,01/01/1841 12:00:00 AM,47.93333,2.91667
2945,1/1/25 0:00,41.93333,-7.46667
2936,1/1/88 0:00,-3.66667,32.5
100000,1/1/13 0:00,54.81667,61.11667
100000,1/1/07 0:00,23.69639,-5.01472
6000,1/1/64 0:00,53.7,30.1
8400,1/1/33 0:00,35.03333,-81.88333
705,01/01/1901 12:00:00 AM,46.55,6.81667
1700,1/1/39 0:00,50.83333,34
72,01/01/1880 12:00:00 AM,14.5,76.5
367,1/1/81 0:00,17.9,101.63333
303,1/1/38 0:00,40.93333,-79.73333
3920,1/1/88 0:00,-10.05944,33.395
,1/1/66 0:00,-17.35,13.96667
4000,1/1/78 0:00,47.47083,0.97667
1600,1/1/79 0:00,-6.95,108.1
1455,1/1/84 0:00,32.1025,-81.87278
48.6,01/01/1822 12:00:00 AM,,
104000,1/1/17 0:00,44.9,-90.28333
5200,01/01/1838 12:00:00 AM,-33.13333,19.38333
469,1/1/94 0:00,43.76111,-84.50778
5000,01/01/1890 12:00:00 AM,42.53333,12.61667
20350,1/1/65 0:00,-19.85,-47.55
1200,01/01/1844 12:00:00 AM,21.16667,-100.86667
1460,1/1/17 0:00,10.2,76.26667
78.4,1/1/36 0:00,35.95,-97.58333
3650,01/01/1877 12:00:00 AM,-27.7,27.3
167,01/01/1892 12:00:00 AM,35.63333,-78.13333
4255,01/01/1902 12:00:00 AM,54.61667,-6.21667
17000,1/1/19 0:00,36.83333,-84.35
6000,01/01/1877 12:00:00 AM,38.4,-84.25
18000,1/1/81 0:00,35.61667,8.83333
5650,01/01/1878 12:00:00 AM,26.91667,83.96667
1064,01/01/1868 12:00:00 AM,-28.2,24.56667
2000,01/01/1868 12:00:00 AM,34.4,-87.06667
100,01/01/1804 12:00:00 AM,49.86667,8.65
7000,1/1/98 0:00,41.98444,59.685
6580,1/1/08 0:00,-1.87089,-79.95756
340,01/01/1887 12:00:00 AM,43,-80
28,01/01/1829 12:00:00 AM,40.25,-74
0.8,01/01/1897 12:00:00 AM,28.56667,77.25
16400,1/1/11 0:00,51.46667,84.76667
230,1/1/67 0:00,39.7825,-104.93056
12500,1/1/01 0:00,26.68333,93.86667
25400,1/1/62 0:00,25.73333,73.61667
12000,1/1/01 0:00,19,81
1140,1/1/94 0:00,24.225,76.525
45000,1/1/76 0:00,22.37778,71.42722
1800,01/01/1848 12:00:00 AM,14.88333,75.6
32000,01/01/1860 12:00:00 AM,32.23333,76.46667
3396,1/1/07 0:00,37.35172,27.32997
1000,1/1/06 0:00,-33.75,18.56667
400,1/1/57 0:00,-31.88333,-60.46667
166000,01/01/1884 12:00:00 AM,-7.5,111.5
3950,1/1/61 0:00,12.73333,15.05
10000,1/1/99 0:00,36.95,9.55
3840,01/01/1903 12:00:00 AM,23.5,90.33333
1600,01/01/1864 12:00:00 AM,50.75,25.3
438,1/1/07 0:00,40,29
128800,1/1/95 0:00,45.5,119.03333
230,01/01/1899 12:00:00 AM,21.86667,82.45
5500,1/1/70 0:00,32.91667,120.78333
3891,01/01/1805 12:00:00 AM,51.2,112.3
1250,1/1/62 0:00,13.05,3.16667
1161,1/1/32 0:00,32.33333,-6.3
642,1/1/76 0:00,-13.66667,33.91667
5000,01/01/1827 12:00:00 AM,36.4,-86.5
47700,1/1/39 0:00,42.52,-82.26
1900,1/1/51 0:00,42.45833,18.44167
30,1/1/99 0:00,-31.66667,152.83333
2270,01/01/1865 12:00:00 AM,52.55,-8.03333
,1/1/76 0:00,43.33333,128.25
13200,01/01/1815 12:00:00 AM,30.3,76.63333
577,01/01/1853 12:00:00 AM,-4,39.5
2117,1/1/43 0:00,33.43333,127.26667
3230,1/1/70 0:00,-27.2,31.31667
300,01/01/1872 12:00:00 AM,26.25,82
188,1/1/33 0:00,-3,151
10000,1/1/47 0:00,40.78167,-96.47167
2400,1/1/61 0:00,-17.3,15.83333
3000,01/01/1785 12:00:00 AM,48.9,11.21667
3336,1/1/39 0:00,56.03333,13
840,1/1/16 0:00,28.26667,78.78333
10000,1/1/89 0:00,34.41667,3.25
17226,1/1/77 0:00,25.37,-97.37
5000,1/1/93 0:00,19.96722,-103.05167
680.5,1/1/98 0:00,39.24667,-104.58817
107000,12/24/1399 12:00:00 AM,50.18333,12.73333
54640,1/1/51 0:00,47.83333,37.66667
1470,1/1/25 0:00,51.75,4
127,01/01/1900 12:00:00 AM,-29.46667,151.61667
8000,1/1/74 0:00,30.3,109.5
127000,12/23/1491 12:00:00 AM,47.86667,7.35
277,01/01/1822 12:00:00 AM,48.18333,6.46667
113,1/1/40 0:00,19.03333,81.89167
107.2,1/1/11 0:00,40.3,44.5
20000,01/01/1889 12:00:00 AM,1.16667,44.16667
2250,01/01/1812 12:00:00 AM,52.21667,11.25
1500,01/01/1837 12:00:00 AM,46.25,-1.1
500,1/1/57 0:00,2.88333,30.83333
320000,01/01/1879 12:00:00 AM,43.41667,-94.83333
89400,01/01/1890 12:00:00 AM,39.75,-97.03333
56000,1/1/34 0:00,35.55,-77.53333
1500,01/01/1844 12:00:00 AM,44.38333,2.81667
2360,1/1/34 0:00,36.05,-94.16667
380,01/01/1875 12:00:00 AM,36.88333,8.45
3200,01/01/1900 12:00:00 AM,32.53333,-87.16667
82,1/1/24 0:00,34.6,116.75
220,01/01/1889 12:00:00 AM,36.1,-81.41667
10200,1/1/96 0:00,43.18111,13.75333
17600,01/01/1894 12:00:00 AM,47.81667,-96.85
3640,1/1/22 0:00,30.83333,-97.76667
152000,01/01/1890 12:00:00 AM,43.25,-93.66667
26000,1/1/42 0:00,-33.35,146.85833
6067,1/1/24 0:00,36.78333,-78.08333
240,01/01/1900 12:00:00 AM,50.95,7.31667
16300,01/01/1829 12:00:00 AM,33.01667,-83.96667
,1/1/44 0:00,28.25,7
650,01/01/1868 12:00:00 AM,34.48333,-87.83333
23000,1/1/45 0:00,31.47556,113.56694
11620,01/01/1882 12:00:00 AM,33.18333,130.2
,01/01/1654 12:00:00 AM,55.33333,10.33333
4000,01/01/1822 12:00:00 AM,25.95,80.81667
2500,1/1/77 0:00,32.9,115.9
132.7,01/01/1826 12:00:00 AM,44.3,0.4
36.1,1/1/52 0:00,7.05,12.43333
28,1/1/52 0:00,7.05,12.43333
5000,1/1/95 0:00,51.68333,30.78333
6400,01/01/1897 12:00:00 AM,27.35,68.53333
,1/1/60 0:00,11.65,-2.18333
380,1/1/17 0:00,27.88333,68.53333
